Investor,Short Description,Long Description
Ideaspace,​Timefree Innovations developed an SMS-based automated queuing system​,"TimeFree is a virtual queuing solutions company that helps businesses improve customer queuing in their stores, thus improving customer loyalty and customer service, and give business owners and managers access to actionable data to streamline store operations for better efficiency and enhance staff productivity.

QMobile
QMobile is a virtual queuing aggregator mobile app that enables end-users to join a queue before arriving to the store.
Offers convenience and mobility to end-users for customer queing
Serves as another customer channel to boost the digital footprint of a business
Alerts end-users regarding their position in the queue
Offers businesses a chance to cross-sell to customers from other industries 

QApps
Enables businesses to effectively manage their customer queue.
Sends text message alerts to customers if their turn is near.
Easy to use applications for the tellers/frontliners and store
managers/business owners.
Cloud-based architecture running on Microsoft Azure ensures data are regularly backed up
Easy to setup application. No need for special hardware. All you need is a browser and internet connection.
Enables business owners and store managers to track staff
productivity and efficiency and other important metrics to
improve business operations.
"
Ideaspace,"​Vinteo specializes in automated, accurate and cost effective video and image analysis","Vinteo provides customer analytics solution that provides on-demand statistics and analytical tools for business growth and optimization purposes.

They developed a tool that provide automated video-based counting and use the generated data over time to measure and analyze store performance using an inexpensive Android-smart device. In a retail store application, the system is able to continuously capture footfall data, visualize aggregation and measure dwell-time in the form of heat maps.

Aggregation or clustering data on the other hand, can provide valuable inputs for day to day operations and marketing strategies.

The accurate data generated can be made available to store owners and managers in detailed and/or summarized format in the form of tables, graphs and maps and be used as aid in decision making and planning.
"
Ideaspace,"WattSmart is an online energy audit solution to help monitor electricity use in real time
","Driven by the vision that every consumer can manage their own energy use, WattSmart develops technology that provides its users with analytics and recommendations that will lead to a more proactive use of energy.

The WattSmart System equips consumers with knowledge of their energy use behaviors; whereby they can monitor in real-time changes in their households' or business' electricity consumption.
"
Ideaspace,"WeGen Tech developed a new design of wind turbine that is more efficient than current technology
","WeGenTech developed a wind turbine that has 50% increased efficiency with dual rotor, resulting to 10-30% lower unit cost of electricity based from the current state of the art; high bandwidth for wind power generation, configured for low and high wind speeds – ideal for low wind areas and typhoon visited countries in Asia.

​Increase the peak efficiency up to 60% based from the wind power; and an improved reliability and lower maintenance cost by employing a gearless design, removing the component with the highest rate of failure and mechanical losses. 10 to 20% anticipation to cut production cost and up to 40% lighter than the conventional wind turbine. 
"
Ideaspace,Zinergi is an online matchmaker of brands and events for event sponsorship.,"Zinergi is an online matchmaker between brands and events that allows easier and optimized partnerships through advance analytics.

​We provide faster and smarter pooling of event sponsors and for brands, to make the most out of their sponsorship investment by matching them to a fit event, provide targeted lead generation and state-of-the-art event analytics.
"
Kickstart,,Apptivate is a secure and efficient prepaid solution for online distribution of digital products. Customers can purchase digital goods using digital gift cards via all mobile operators in the Philippines.
Kickstart,,"AVA is a curated e-commerce platform that carries wellknown
prestige and mass-tige brands, as well as private
label apparel, accessories, and services for women with
a preference for quality and craftsmanship."
Kickstart,,"Bagosphere is a micro-credit powered job training for
the base of the pyramid."
Kickstart,,"Cogito is an SaaS platform that allows companies to
easily create and automate customized business
workflows. Convert paper, email, or spreadsheet-based
processes to online workflows in minutes – no
programming required!"
Kickstart,,"Four Eyes is the first online optical store for
prescription eyewear in Southeast Asia."
Kickstart,,"GiftLauncher is a borderless, group-gifting platform for
family and friends to pool cash and fund gifts or
experiences, which recipients actually want, thereby
deftly navigating the etiquette around asking for, and
giving, cash gifts."
Kickstart,,"Guestlist is a mobile app that gives people easy
access to the best clubs, events, and parties in the
Philippines."
Kickstart,,"Kalibrr is a job-matching platform that connects talent
with opportunity. Jobseekers take tests to qualify and be
matched for jobs, and companies use Kalibrr to recruit
pre-qualified talent with the skills they need."
Kickstart,,"Lenddo enables businesses to simply and securely
evaluate both the character and identity of customers
using alternative data in order to extend credit and
deliver life-improving services."
Kickstart,,"Lifebit is an addicting mobile-first journal with rewards.
Have fun sharing your daily moments while earning
points from photo challenges about your passions, or
from merchants and brands. The points get you
freebies, likes, and a fun time everyday."
Kickstart,,"Loansolutions is an online platform that matches
borrowers with financial institutions. Unlike traditional
loan comparison portals, Loansolutions puts the
borrower first. Through its algorithms and hands-on
concierge services, Loansolutions ensures borrowers
get the best possible chance in securing a competitive
loan."
Kickstart,,"mClinica is a mobile health technology company
operating in emerging markets that creates a digital
infrastructure connecting pharmaceutical companies
directly to pharmacies, making healthcare better for the
patient."
Kickstart,,"Medix is a cloud-based clinic management system that
gives medical professionals and patients more use and
better control over their information."
Kickstart,,"MyLegalWhiz is the first subscription-based, cloudenabled
legal knowledge, and research assistance
platform in Southeast Asia. It focuses on context,
structure, and relevance of legal content to meet the
needs of legal professionals, educators, researchers,
and students. It pioneered an on-demand concierge
legal research assistance service a.k.a. ""LEA"" (Legal
Engineer Assistant) for non-lawyers to understand legal
content and issues before seeking professional legal
advice."
Kickstart,,"Peekawoo is a digital dating platform for the millennials
without the hard-sell approach of established online
dating sites."
Kickstart,,"Ritmo Learning Lab is a music-driven, bilingual
educational supplement for today’s 3-7 year olds. It
helps parents and educators teach children math,
science, vocabulary and social concepts in English and
Filipino in the form of pop- and rock-infused songs,
accompanied by a teaching manual."
Kickstart,,"Tripid is a feature-rich, web and mobile ridesharing
app that connects drivers and commuters
travelling the same routes so they can carpool. It
provides carpooling communities with safety and
social features, so that people can coordinate and
share rides with ease."
Kickstart,,"ZAP is the #1 rewards and loyalty partner of thousands
of consumers and 400 establishments in Metro Manila,
enabling customers to earn CashBack points with just
their mobile number, and providing brick and mortar
establishments with actionable and valuable customer
data."
